Author_1,Author_2,label,jaccard
kim,hyeon,False,0.021932424422050976
kim,emerson,False,0.0
kim,chang-young,False,0.0
knowles,mueller,False,0.02575107296137339
kuzmanovich,chaichian,False,0.03896103896103896
kuzmanovich,giri,False,0.020066889632107024
kuzmanovich,fang,False,0.018258426966292134
kuzmanovich,englis,False,0.0
kuzmanovich,shimada,False,0.031578947368421054
kuzmanovich,zhan,False,0.013270547945205479
kuzmanovich,kulish,False,0.06060606060606061
kuzmanovich,di vizio,False,0.03636363636363636
kuzmanovich,fan,False,0.014357501794687724
kuzmanovich,gualdani,False,0.012195121951219513
bannai,rieck,False,0.025
bannai,gezici,False,0.023809523809523808
bannai,molisch,False,0.0
bannai,poor,False,0.017829457364341085
lasserre,helton,False,0.15339233038348082
iosevich,clop,False,0.08264462809917356
de souza,oliveira-neto,False,0.0
de souza,rodrigues,False,0.26861702127659576
kschischang,nascimento,False,0.0056179775280898875
kschischang,gomes,False,0.0
kschischang,mariz,False,0.0
kschischang,petrov,False,0.06521739130434782
kschischang,da silva,False,0.04201680672268908
bolthausen,deuschel,False,0.045871559633027525
lazarev,kiselev,False,0.1625
lazarev,pang,False,0.04067796610169491
lazarev,ellis-monaghan,False,0.02654867256637168
mohr,nascimento,False,0.014388489208633094
mohr,silva,False,0.04909090909090909
mohr,da silva,False,0.034482758620689655
mohr,aratyn,False,0.04225352112676056
mohr,kauffman,False,0.022900763358778626
mohr,pardini,False,0.013513513513513514
mohr,ciliberto,False,0.023696682464454975
antal,golinelli,False,0.0
antal,nelli,False,0.06093189964157706
antal,golin,False,0.09510869565217392
bruno,brun,False,0.10782865583456426
bruno,keller,False,0.0492091388400703
bruno,keller-ressel,False,0.03361344537815126
bruno,stein,False,0.03918824352694192
bruno,dajani,False,0.056074766355140186
lazarsfeld,tseng,False,0.020134228187919462
lazarsfeld,coates,False,0.05263157894736842
león,wintenberger,False,0.0
león,kammoun,False,0.08130081300813008
shi,long,False,0.10702228224172856
shi,gashi,False,0.03773584905660377
shi,longo,False,0.030550621669627
lo,sridharan,False,0.005528163753174959
lo,vaze,False,0.005824372759856631
salur,efe,False,0.0
tibshirani,höfling,False,0.0
alpay,dijksma,False,0.0
stroganov,nirov,False,0.05333333333333334
stroganov,frances,False,0.06967213114754098
stroganov,di francesco,False,0.08290155440414508
sardanashvily,bashkirov,False,0.0
petrova,nascimento,False,0.04
petrova,silva,False,0.08226691042047532
petrova,da silva,False,0.07655502392344497
petrova,semenov,False,0.05785123966942149
akman,kenig,False,0.06278026905829596
kutsenko,badanin,False,0.3333333333333333
kutsenko,brüning,False,0.26666666666666666
pask,kaliszewski,False,0.08888888888888889
nekrasov,feigin,False,0.05829596412556054
nekrasov,witten,False,0.08391608391608392
nekrasov,krotov,False,0.03571428571428571
nekrasov,alexandrov,False,0.049107142857142856
nekrasov,lysov,False,0.0
clay,dani,False,0.0
futorny,merino,False,0.05982905982905983
futorny,horn,False,0.09974424552429667
jeon,phillips,False,0.18282548476454294
jeon,osaka,False,0.2631578947368421
jeon,akhmedov,False,0.06808510638297872
jeon,ayanoglu,False,0.03188405797101449
jeon,baykur,False,0.02358490566037736
jeon,yano,False,0.06578947368421052
jeon,trout,False,0.0
jeon,rockmore,False,0.04390243902439024
jeon,chai,False,0.07555555555555556
plamenevskaya,cochran,False,0.0
plamenevskaya,leidy,False,0.0
illuminati,blasone,False,0.0
illuminati,dellanno,False,0.0
grandati,berarducci,False,0.031746031746031744
roueff,douc,False,0.0
roueff,soulier,False,0.0
roueff,ritov,False,0.047619047619047616
nirov,stroganov,False,0.05333333333333334
nirov,zinn-justin,False,0.03208556149732621
dinh,tu,False,0.06186685962373372
dinh,du,False,0.05213414634146341
dinh,duc,False,0.0
dinh,ye,False,0.05802585935036266
dinh,yen,False,0.12574341546304163
dinh,thanh,False,0.0
dinh,nguyen,True,0.16928446771378708
katsura,giordano,False,0.01948051948051948
katsura,putnam,False,0.01948051948051948
katsura,skau,False,0.01948051948051948
bouclet,joye,False,0.04878048780487805
bouclet,merkli,False,0.046218487394957986
bostelmann,kuennemann,False,0.04950495049504951
weinstein,schaetz,False,0.0
weinstein,chae,False,0.04672897196261682
ikeda,karimov,False,0.062111801242236024
boscain,felder,False,0.05853658536585366
boscain,fanelli,False,0.02
boscain,de negri,False,0.05263157894736842
boscain,villa,False,0.03617571059431524
weibel,inoue,False,0.02888086642599278
weibel,nakano,False,0.04054054054054054
jaeger,bonatti,False,0.07488986784140969
jaeger,wilkinson,False,0.0625
jaeger,auroux,False,0.01694915254237288
rivero,barros,False,0.053497942386831275
rivero,ortega,False,0.07258064516129033
gobet,jérusalem,False,0.0
huybrechts,mehrotra,False,0.1038961038961039
zirnbauer,maffei,False,0.021739130434782608
picioroaga,kay,False,0.13043478260869565
kleiner,bux,False,0.05660377358490566
kleiner,margalit,False,0.05660377358490566
addario-berry,freedman,False,0.02127659574468085
